# Time temperature
02:41:04.151 25.500
02:41:04.235 25.500
02:41:04.313 25.500
02:41:04.392 25.500
02:41:04.475 25.500
02:41:04.554 26.0
02:41:04.633 26.0
02:41:04.711 25.500
02:41:04.795 25.500
02:41:04.873 26.0
02:41:04.952 26.0
02:41:05.030 26.0
02:41:05.114 26.0
02:41:05.193 25.500
02:41:05.271 26.0
02:41:05.350 26.0
02:41:05.434 26.0
02:41:05.512 26.0
02:41:05.591 25.500
02:41:05.674 26.0
02:41:05.753 26.0
02:41:05.832 26.0
02:41:05.910 26.0
02:41:05.994 26.0
02:41:06.072 26.0
02:41:06.151 26.0
02:41:06.230 26.0
02:41:06.313 26.0
02:41:06.392 26.0
02:41:06.471 26.0
02:41:06.549 26.0
02:41:06.633 26.0
02:41:06.711 26.0
02:41:06.790 26.0
02:41:06.874 26.0
02:41:06.952 26.0
02:41:07.031 26.0
02:41:07.109 26.0
02:41:07.193 26.0
02:41:07.272 26.0
02:41:07.350 26.0
02:41:07.429 26.0
02:41:07.513 26.0
02:41:07.591 26.0
02:41:07.670 26.0
02:41:07.748 26.0
02:41:07.832 26.0
02:41:07.911 26.0
02:41:07.989 26.0
02:41:08.073 26.0
02:41:08.151 26.0
02:41:08.230 26.0
02:41:08.309 26.0
02:41:08.392 26.0
02:41:08.471 26.0
02:41:08.550 26.0
02:41:08.628 26.0
02:41:08.712 26.0
02:41:08.790 26.0
02:41:08.869 26.0
02:41:08.948 26.0
02:41:09.031 26.0
02:41:09.110 26.0
02:41:09.189 26.0
02:41:09.932 26.0
02:41:10.010 26.0
02:41:10.089 26.0
02:41:10.173 26.0
02:41:10.251 26.0
02:41:10.330 26.0
02:41:10.408 26.0
02:41:10.492 26.0
02:41:10.571 26.0
02:41:10.649 26.0
02:41:10.728 26.0
02:41:10.812 26.0
02:41:10.890 26.0
02:41:10.969 26.0
02:41:11.047 26.0
02:41:11.131 26.0
02:41:11.210 26.0
02:41:11.288 26.0
02:41:11.372 26.0
02:41:11.451 26.0
02:41:11.529 26.0
02:41:11.608 26.0
02:41:11.691 26.0
02:41:11.770 26.0
02:41:11.849 26.0
02:41:11.927 26.0
02:41:12.011 26.0
02:41:12.090 26.0
02:41:12.168 26.0
02:41:12.247 26.0
02:41:12.330 26.0
02:41:12.409 26.0
02:41:12.488 26.0
02:41:12.571 26.0
02:41:12.650 26.0
02:41:12.729 26.0
02:41:12.807 26.0
02:41:12.891 26.0
02:41:12.972 26.0
02:41:13.051 26.0
02:41:13.130 26.0
02:41:13.213 26.0
02:41:13.292 26.0
02:41:13.370 26.0
02:41:13.449 26.0
02:41:13.533 26.0
02:41:13.611 26.0
02:41:13.690 26.0
02:41:13.774 26.0
02:41:13.852 26.0
02:41:13.931 26.0
02:41:14.010 26.0
02:41:14.093 26.0
02:41:14.172 26.0
02:41:14.250 26.0
02:41:14.336 26.0
02:41:14.420 26.0
02:41:14.498 26.0
02:41:14.577 26.0
02:41:14.661 26.0
02:41:14.739 26.0
02:41:14.818 26.0
02:41:14.896 26.0
02:41:14.980 26.0
02:41:15.059 26.0
02:41:15.137 26.0
02:41:15.216 26.0
02:41:15.299 26.0
02:41:15.378 26.0
02:41:15.457 26.0
02:41:15.535 26.0
02:41:15.619 26.0
02:41:15.698 26.0
02:41:15.776 26.0
02:41:15.860 26.0
02:41:15.939 26.0
02:41:16.017 26.0
02:41:16.096 26.0
02:41:16.179 26.0
02:41:16.258 26.0
02:41:16.337 26.0
02:41:16.415 26.0
02:41:16.499 26.0
02:41:16.578 26.0
02:41:16.656 26.0
02:41:16.735 26.0
02:41:16.818 26.0
02:41:16.897 26.0
02:41:16.976 26.0
02:41:17.059 26.0
02:41:17.138 26.0
02:41:17.216 26.0
02:41:17.295 26.0
02:41:17.378 26.0
02:41:17.457 26.0
02:41:17.536 26.0
02:41:17.614 26.500
02:41:17.698 26.0
02:41:17.776 26.500
02:41:17.855 26.500
02:41:17.934 26.500
02:41:18.017 26.500
02:41:18.096 26.500
02:41:18.174 26.500
02:41:18.253 26.500
02:41:18.336 26.500
02:41:18.415 26.500
02:41:18.494 26.500
02:41:18.577 26.500
02:41:18.656 26.500
02:41:18.735 26.500
02:41:18.813 26.500
02:41:18.897 26.500
02:41:18.975 26.500
02:41:19.054 26.500
02:41:19.133 26.500
02:41:19.216 26.500
02:41:19.295 26.500
02:41:19.373 26.500
02:41:19.468 26.500
02:41:19.547 26.500
02:41:19.625 26.500
02:41:19.704 26.500
02:41:19.788 26.500
02:41:19.866 26.500
02:41:19.945 26.500
02:41:20.023 26.500
02:41:20.107 26.500
02:41:20.186 26.500
02:41:20.264 26.500
02:41:20.343 26.500
02:41:20.426 26.500
02:41:20.505 26.500
02:41:20.584 26.500
02:41:20.667 26.500
02:41:20.746 26.500
02:41:20.824 26.500
02:41:20.903 26.500
02:41:20.987 27.0
02:41:21.065 27.0
02:41:21.144 26.500
02:41:21.222 27.0
02:41:21.306 27.0
02:41:21.385 27.0
02:41:21.463 27.0
02:41:21.542 27.0
02:41:21.626 27.0
02:41:21.704 27.0
02:41:21.783 27.0
02:41:21.866 27.0
02:41:21.945 27.0
02:41:22.024 27.0
02:41:22.102 27.0
02:41:22.186 27.0
02:41:22.264 27.0
02:41:22.343 27.0
02:41:22.422 27.0
02:41:22.505 27.0
02:41:22.584 27.0
02:41:22.663 27.0
02:41:22.741 27.0
02:41:22.825 27.0
02:41:22.904 27.0
02:41:22.985 27.0
02:41:23.069 27.0
02:41:23.147 27.0
02:41:23.226 27.0
02:41:23.304 27.0
02:41:23.388 27.0
02:41:23.467 27.0
02:41:23.545 27.0
02:41:23.624 27.0
02:41:23.708 27.0
02:41:23.786 27.0
02:41:23.865 27.500
02:41:23.943 27.500
02:41:24.027 27.500
02:41:24.105 27.500
02:41:24.184 27.500
02:41:24.268 27.500
02:41:24.346 27.500
02:41:24.425 27.500
02:41:24.503 27.500
02:41:24.599 27.500
02:41:24.678 27.500
02:41:24.756 27.500
02:41:24.835 27.500
02:41:24.918 27.500
02:41:24.997 27.500
02:41:25.075 27.500
02:41:25.159 27.500
02:41:25.238 27.500
02:41:25.316 27.500
02:41:25.395 27.500
02:41:25.478 27.500
02:41:25.557 27.500
02:41:25.636 27.500
02:41:25.714 27.500
02:41:25.798 27.500
02:41:25.876 27.500
02:41:25.955 27.500
02:41:26.033 27.500
02:41:26.117 27.500
02:41:26.196 27.500
02:41:26.274 27.500
02:41:26.353 27.500
02:41:26.437 27.500
02:41:26.515 27.500
02:41:26.594 27.500
02:41:26.677 27.500
02:41:26.756 28.0
02:41:26.835 28.0
02:41:26.913 28.0
02:41:26.997 27.500
02:41:27.076 28.0
02:41:27.154 28.0
02:41:27.233 28.0
02:41:27.316 28.0
02:41:27.395 28.0
02:41:27.473 28.0
02:41:27.552 28.0
02:41:27.636 28.0
02:41:27.714 28.0
02:41:27.793 28.0
02:41:27.877 28.0
02:41:27.955 28.0
02:41:28.034 28.0
02:41:28.112 28.0
02:41:28.196 28.0
02:41:28.275 28.0
02:41:28.353 28.0
02:41:28.432 28.0
02:41:28.515 28.0
02:41:28.594 28.0
02:41:28.672 28.0
02:41:28.751 28.0
02:41:28.835 28.0
02:41:28.913 28.0
02:41:28.992 28.0
02:41:29.076 28.0
02:41:29.154 28.0
02:41:29.233 28.0
02:41:29.312 28.0
02:41:29.395 28.0
02:41:29.474 28.0
02:41:29.552 28.0
02:41:29.631 28.0
02:41:29.843 28.0
02:41:29.922 28.0
02:41:30.006 28.0
02:41:30.084 28.500
02:41:30.163 28.500
02:41:30.241 28.500
02:41:30.325 28.500
02:41:30.404 28.500
02:41:30.482 28.500
02:41:30.566 28.500
02:41:30.644 28.500
02:41:30.723 28.500
02:41:30.802 28.500
02:41:30.886 28.500
02:41:30.964 28.500
02:41:31.043 28.500
02:41:31.121 28.500
02:41:31.205 28.500
02:41:31.283 28.500
02:41:31.362 28.500
02:41:31.441 28.500
02:41:31.525 28.500
02:41:31.603 28.500
02:41:31.682 28.500
02:41:31.765 28.500
02:41:31.844 28.500
02:41:31.923 28.500
02:41:32.001 28.500
02:41:32.085 28.500
02:41:32.163 28.500
02:41:32.242 28.500
02:41:32.321 28.500
02:41:32.404 28.500
02:41:32.483 28.500
02:41:32.562 28.500
02:41:32.640 28.500
02:41:32.724 28.500
02:41:32.803 28.500
02:41:32.882 28.500
02:41:32.966 28.500
02:41:33.047 29.0
02:41:33.126 28.500
02:41:33.204 29.0
02:41:33.288 29.0
02:41:33.366 29.0
